filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,rating,review_count,is_ad
1764927912085_750.jpg,2025-12-05T10:45:12.085000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Lave linge ouverture hublot SABA FL814M25W 8 kg 1400 trs/min profondeur 52 cm,279.99,4.3,14,False
1764927912085_750.jpg,2025-12-05T10:45:12.085000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Lave linge ouverture hublot HOTPOINT CNB9479WKFR 9 kg 1400 trs/min profondeur 61.7 cm,369.99,4.1,65,False
1764929038524_766.jpg,2025-12-05T11:03:58.524000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Lave linge ouverture hublot SABA FL814M25W 8 kg 1400 trs/min profondeur 52 cm,279.99,4.3,14,False
1764929038524_766.jpg,2025-12-05T11:03:58.524000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Lave linge ouverture hublot HOTPOINT CNB9479WKFR 9 kg 1400 trs/min profondeur 61.7 cm,369.99,4.1,65,False
