filename,time,participant_id,device_model,android_version,screen_width,screen_height,product_name,price
1747993820353_7.jpg,2025-05-23T11:50:20.353000,d4ad4a60-18a4-4ec6-8e80-13c56d27dfba,Xiaomi M2101K6G,31 (S) 12,1080,2177,Black,249.99
1748010023431_16.jpg,2025-05-23T16:20:23.431000,4f097143-75c2-4002-a45f-41cce4d57bbe,samsung SM-A546B,34 (UPSIDE_DOWN_CAKE) 14,1080,2221,Black,249.99
1750408198233_102.jpg,2025-06-20T10:29:58.233000,dbd53034-13cb-4a0f-ab16-945add3ad977,Xiaomi M2101K6G,31 (S) 12,1080,2177,,249.99
1750408287645_112.jpg,2025-06-20T10:31:27.645000,12d19912-e251-4c3a-9ccd-2306acb3afe3,Google Pixel 4,33 (TIRAMISU) 13,1080,2214,,249.99
1750408513803_115.jpg,2025-06-20T10:35:13.803000,1bf06c05-78dd-4569-8292-1678353eb3f4,Google Pixel 4a,35 (VANILLA_ICE_CREAM) 15,1080,2340,,249.99
1750699417838_127.jpg,2025-06-23T19:23:37.838000,f86b630c-252f-47f3-9816-82b82a8847c4,samsung SM-G970F,31 (S) 12,1080,2020,,249.99
1758546146411_231.jpg,2025-09-22T15:02:26.411000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Black,229.26
1758546273330_238.jpg,2025-09-22T15:04:33.330000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,"Bose QuietComfort Headphones, Casque sans fil immersif à réduction de bruit, Casque supra-aural Bluetooth avec micro intégré d'une autonomie allant jusqu'à 24 heures, Noir",
1758546476942_247.jpg,2025-09-22T15:07:56.942000,f7c471e0-f174-4cf7-b3ca-173f028a2547,Google Pixel 7a,36 (VANILLA_ICE_CREAM) 16,1080,2400,,229.26
1758554451083_292.jpg,2025-09-22T17:20:51.083000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,Black,229.26
1758554718689_302.jpg,2025-09-22T17:25:18.689000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,,229.26
1764339293143_697.jpg,2025-11-28T15:14:53.143000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Black,210.86
1764844121672_736.jpg,2025-12-04T11:28:41.672000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Black,212.08
1764931631372_802.jpg,2025-12-05T11:47:11.372000,df8398ab-4328-40af-8f11-6d473dec6575,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,,249.0
1764946430663_822.jpg,2025-12-05T15:53:50.663000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Black,299.99
1765025285081_852.jpg,2025-12-06T13:48:05.081000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,,299.99
1765135389533_892.jpg,2025-12-07T20:23:09.533000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,,299.99
1765205645447_973.jpg,2025-12-08T15:54:05.447000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,Black,299.99
1765226045510_1056.jpg,2025-12-08T21:34:05.510000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,,299.99
1765265181818_1091.jpg,2025-12-09T08:26:21.818000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Black,299.99
1765314974836_1128.jpg,2025-12-09T22:16:14.836000,a3fc7f13-95cc-4518-b307-dc6da9557a02,samsung SM-G970F,31 (S) 12,1080,2020,,225.0
