filename,time,participant_id,device_model,android_version,screen_width,screen_height,hotel_name,rating,review_count
1762532331986_329.jpg,2025-11-07T17:18:51.986000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3147
1763128727331_346.jpg,2025-11-14T14:58:47.331000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3162
1763129432112_351.jpg,2025-11-14T15:10:32.112000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3162
1763284389098_367.jpg,2025-11-16T10:13:09.098000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3164
1763370539482_376.jpg,2025-11-17T10:08:59.482000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3164
1763446684125_386.jpg,2025-11-18T07:18:04.125000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3171
1763539299710_398.jpg,2025-11-19T09:01:39.710000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3173
1763569276575_413.jpg,2025-11-19T17:21:16.575000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3173
1763622700936_422.jpg,2025-11-20T08:11:40.936000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3179
1763624809504_432.jpg,2025-11-20T08:46:49.504000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,Hyatt Place New York/ Midtown-South,8.2,3179
1763624812681_433.jpg,2025-11-20T08:46:52.681000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,Hyatt Place New York/Midtown-South,8.2,3179
1763631332497_453.jpg,2025-11-20T10:35:32.497000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Hyatt Place New York/Midtown-South,8.2,3179
1763720665351_485.jpg,2025-11-21T11:24:25.351000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Hyatt Place New York/Midtown-South,8.2,3181
1763809337917_514.jpg,2025-11-22T12:02:17.917000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3181
1763813395076_543.jpg,2025-11-22T13:09:55.076000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3183
1763908856778_558.jpg,2025-11-23T15:40:56.778000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Hyatt Place New York/Midtown-South,8.2,3187
1763994967061_578.jpg,2025-11-24T15:36:07.061000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,Hyatt Place New York/Midtown-South,8.2,3187
1764162927721_595.jpg,2025-11-26T14:15:27.721000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3190
1764234437883_637.jpg,2025-11-27T10:07:17.883000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Hyatt Place New York/Midtown-South,8.2,3194
1764326126176_690.jpg,2025-11-28T11:35:26.176000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3196
1764844091285_735.jpg,2025-12-04T11:28:11.285000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3203
1764928682158_758.jpg,2025-12-05T10:58:02.158000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3215
1764946349175_819.jpg,2025-12-05T15:52:29.175000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3215
1765025148697_843.jpg,2025-12-06T13:45:48.697000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Hyatt Place New York/Midtown-South,8.2,3218
1765135163456_881.jpg,2025-12-07T20:19:23.456000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Hyatt Place New York/Midtown-South,8.2,3219
1765205215122_948.jpg,2025-12-08T15:46:55.122000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,Hyatt Place New York/Midtown-South,8.2,3222
1765206076805_1027.jpg,2025-12-08T16:01:16.805000,9ee0d6f1-2994-4681-a747-7bcef630b929,samsung SM-A346B,36 (VANILLA_ICE_CREAM) 16,1080,2340,,8.2,3222
