filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price
1762530704757_327.jpg,2025-11-07T16:51:44.757000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,378.0
1763129930905_354.jpg,2025-11-14T15:18:50.905000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,445.0
1763129966969_355.jpg,2025-11-14T15:19:26.969000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,445.0
1763129966969_355.jpg,2025-11-14T15:19:26.969000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée aux Personnes à Mobilité Réduite,
1763284437128_369.jpg,2025-11-16T10:13:57.128000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,440.0
1763446722887_388.jpg,2025-11-18T07:18:42.887000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,446.0
1763539345264_400.jpg,2025-11-19T09:02:25.264000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,450.0
1763569308087_415.jpg,2025-11-19T17:21:48.087000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,457.0
1763569308087_415.jpg,2025-11-19T17:21:48.087000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée aux Personnes à Mobilité Réduite,
1763622748858_424.jpg,2025-11-20T08:12:28.858000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,450.0
1763624940463_439.jpg,2025-11-20T08:49:00.463000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,1,Chambre Lit King-Size,450.0
1763624940463_439.jpg,2025-11-20T08:49:00.463000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,2,,
1763624946444_440.jpg,2025-11-20T08:49:06.444000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,Chambre Lit King-Size,450.0
