filename,time,participant_id,device_model,android_version,screen_width,screen_height,hotel_name,rating,review_count
1748009659105_14.jpg,2025-05-23T16:14:19.105000,4f097143-75c2-4002-a45f-41cce4d57bbe,samsung SM-A546B,34 (UPSIDE_DOWN_CAKE) 14,1080,2221,Pullman Paris Montparnasse,8.3,2410
1748253194610_23.jpg,2025-05-26T11:53:14.610000,bb971212-fa95-41e3-927f-31ce3f9b282b,samsung SM-G970F,30 (R) 11,1080,2020,Pullman Paris Montparnasse,8.3,2403
1748253473096_31.jpg,2025-05-26T11:57:53.096000,bb971212-fa95-41e3-927f-31ce3f9b282b,samsung SM-G970F,30 (R) 11,1080,2020,Pullman Paris Montparnasse,8.3,2403
1748261477891_35.jpg,2025-05-26T14:11:17.891000,6e3bddcf-5022-45e1-af8a-38259054b57e,Google Pixel 6a,35 (VANILLA_ICE_CREAM) 15,1080,2400,Pullman Paris Montparnasse,8.3,2403
1748262150099_50.jpg,2025-05-26T14:22:30.099000,085aad14-fa69-494f-a246-73983b2f1ea6,samsung SM-G970F,31 (S) 12,1080,2020,Pullman Paris Montparnasse,8.3,2403
1748262396642_57.jpg,2025-05-26T14:26:36.642000,6e3bddcf-5022-45e1-af8a-38259054b57e,Google Pixel 6a,35 (VANILLA_ICE_CREAM) 15,1080,2400,Pullman Paris Montparnasse,8.3,2403
1749632276058_58.jpg,2025-06-11T10:57:56.058000,4f097143-75c2-4002-a45f-41cce4d57bbe,samsung SM-A546B,34 (UPSIDE_DOWN_CAKE) 14,1080,2221,Pullman Paris Montparnasse,8.3,2387
1749632287182_59.jpg,2025-06-11T10:58:07.182000,b819b7eb-a594-4f66-b71b-ddb9b4068467,samsung SM-G970F,31 (S) 12,1080,2020,Pullman Paris Montparnasse,8.3,2387
1749731310888_75.jpg,2025-06-12T14:28:30.888000,4f097143-75c2-4002-a45f-41cce4d57bbe,samsung SM-A546B,34 (UPSIDE_DOWN_CAKE) 14,1080,2221,Pullman Paris Montparnasse,8.3,2387
1749838716831_84.jpg,2025-06-13T20:18:36.831000,4f097143-75c2-4002-a45f-41cce4d57bbe,samsung SM-A546B,34 (UPSIDE_DOWN_CAKE) 14,1080,2221,Pullman Paris Montparnasse,8.3,2388
1750341662574_86.jpg,2025-06-19T16:01:02.574000,a6a65b73-ee4b-4fac-a8f7-fffd530b125c,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Pullman Paris Montparnasse,8.3,2388
1750408182374_101.jpg,2025-06-20T10:29:42.374000,12d19912-e251-4c3a-9ccd-2306acb3afe3,Google Pixel 4,33 (TIRAMISU) 13,1080,2214,Pullman Paris Montparnasse,8.3,2379
1750408401184_114.jpg,2025-06-20T10:33:21.184000,dbd53034-13cb-4a0f-ab16-945add3ad977,Xiaomi M2101K6G,31 (S) 12,1080,2177,Pullman Paris Montparnasse,8.3,2379
1750699358880_125.jpg,2025-06-23T19:22:38.880000,f86b630c-252f-47f3-9816-82b82a8847c4,samsung SM-G970F,31 (S) 12,1080,2020,Pullman Paris Montparnasse,8.3,2378
1750956246498_156.jpg,2025-06-26T18:44:06.498000,f86b630c-252f-47f3-9816-82b82a8847c4,samsung SM-G970F,31 (S) 12,1080,2020,Pullman Paris Montparnasse,8.3,2376
1758545914056_203.jpg,2025-09-22T14:58:34.056000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,Pullman Paris Montparnasse,8.3,2324
1758545977007_210.jpg,2025-09-22T14:59:37.007000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,Pullman Paris Montparnasse,8.3,2324
1758546317403_240.jpg,2025-09-22T15:05:17.403000,f7c471e0-f174-4cf7-b3ca-173f028a2547,Google Pixel 7a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Pullman Paris Montparnasse,8.3,2324
1758547291986_275.jpg,2025-09-22T15:21:31.986000,b0f7847f-47f7-4c5c-9e32-329bf06c16f0,samsung SM-G998B,28 (P) 9,1600,900,Pullman Paris Montparnasse,8.3,2324
1764340497287_700.jpg,2025-11-28T15:34:57.287000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Pullman Paris Montparnasse,8.3,2245
1764843941006_733.jpg,2025-12-04T11:25:41.006000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Pullman Paris Montparnasse,8.3,2244
1764928699261_759.jpg,2025-12-05T10:58:19.261000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Pullman Paris Montparnasse,8.3,2244
1764946387374_820.jpg,2025-12-05T15:53:07.374000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Pullman Paris Montparnasse,8.3,2244
1765025164980_844.jpg,2025-12-06T13:46:04.980000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,Pullman Paris Montparnasse,8.3,2244
1765135182712_882.jpg,2025-12-07T20:19:42.712000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,Pullman Paris Montparnasse,8.3,2242
