filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,rating,review_count
1764927753476_749.jpg,2025-12-05T10:42:33.476000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Lave linge ouverture hublot HOTPOINT CNB9479WKFR 9 kg 1400 trs/min profondeur 61.7...,369.99,4.1,65
1764929192568_770.jpg,2025-12-05T11:06:32.568000,4f3ea42b-1405-491f-ad94-8146aee9ac45,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,Lave linge ouverture hublot HOTPOINT CNB9479WKFR 9 kg 1400 trs/min profondeur 61.7 cm,369.99,4.1,65
1764929708177_791.jpg,2025-12-05T11:15:08.177000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,,369.99,,
